PM10,"PM2,5",NO2,O3,HUMEDAD,LLUVIA,TEMPERATURA,VEL.VIENTO,DIR. VIENTO
18.0,7.008,12.86252,63.594120000000004,60.088,0.0,27.848000000000003,2.032,293.79200000000003
18.1,7.424000000000001,16.48856,66.35,61.952,0.0,27.444,1.952,293.44
17.656,7.156000000000001,12.28524,65.87,59.412,0.0,27.576,1.812,275.688
24.056,8.324,29.27892,48.379999999999995,68.512,0.0,25.827999999999996,2.268,279.04800000000006
24.348000000000003,8.284,40.4998,33.370000000000005,70.628,0.0,25.443999999999996,2.428,261.712
29.488,9.459999999999999,58.648039999999995,14.6,71.35600000000001,0.0,24.924,2.2039999999999997,272.92400000000004
20.66,6.839999999999999,46.903999999999996,28.59,71.50399999999999,0.0,24.1,2.196,196.176
20.875999999999998,7.256,51.2336,13.82,70.65200000000002,0.0,23.796000000000003,1.684,279.12
18.416,6.532000000000001,41.1312,15.07556,70.932,0.0,23.151999999999997,1.6759999999999997,279.932
16.896,6.523999999999999,24.76892,19.45,72.764,0.0,22.772,1.472,288.096
15.792000000000002,6.231999999999999,17.28232,22.812559999999998,73.748,0.0,22.66,1.7600000000000002,285.736
15.952000000000002,6.340000000000001,20.24088,24.290000000000006,75.564,0.02399999999999998,22.296,1.6439999999999997,205.608
16.62,6.2,6.656760000000001,23.84,76.768,0.04799999999999996,21.656,1.424,271.908
15.291999999999998,5.9959999999999996,10.842039999999997,22.48126,80.524,0.0,20.968,1.5559999999999998,292.024
17.032,6.9719999999999995,12.84448,18.12164,84.624,0.039999999999999994,20.54,2.124,263.56800000000004
22.884,8.080000000000002,20.98052,7.42682,84.264,0.0,20.556000000000004,2.192,270.67600000000004
34.06400000000001,11.440000000000001,34.564640000000004,8.99,80.072,0.0,21.591999999999995,2.424,238.288
37.75599999999999,12.204,47.661680000000004,7.8100000000000005,68.768,0.0,23.928,1.7920000000000003,289.976
33.06,10.84,25.526600000000002,41.84,60.727999999999994,0.0,25.288,1.656,290.56
24.044,7.343999999999999,9.344719999999999,67.0942,50.211999999999996,0.0,27.928000000000004,1.924,277.57599999999996
18.276,6.0120000000000005,8.442720000000001,79.45000000000002,41.720000000000006,0.0,29.9,1.784,293.50800000000004
21.863999999999997,7.724000000000001,8.983920000000001,91.31,41.536,0.0,30.660000000000004,1.6360000000000003,299.784
21.256,7.848000000000001,11.202840000000002,67.13,49.70399999999999,0.0,29.672000000000004,1.7760000000000002,293.808
19.176000000000002,7.228,10.589479999999998,60.81,53.948,0.0,29.083999999999996,1.6920000000000002,282.58399999999995
